"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_MOLECULAR_FUNCTION","Exonuclease","0.63%","16","1476","51","12454","5.92e-4","6.12e-3","2.65","5.36e-2","4.61e-3","1.73e-4"
"GOTERM_MF_DIRECT","manganese ion binding","0.63%","16","2457","69","28924","5.71e-4","1.17e-2","2.73","6.90e-1","1.09e-2","1.73e-4"
"GOTERM_BP_DIRECT","antiviral innate immune response","0.63%","16","2485","70","29712","5.70e-4","2.91e-2","2.73","9.70e-1","2.82e-2","1.73e-4"
"GOTERM_BP_DIRECT","positive regulation of interleukin-1 beta production","0.63%","16","2485","68","29712","4.11e-4","2.28e-2","2.81","9.19e-1","2.21e-2","1.21e-4"
"GOTERM_BP_DIRECT","telomere maintenance","0.63%","16","2485","64","29712","2.03e-4","1.38e-2","2.99","7.12e-1","1.34e-2","5.52e-5"
"GOTERM_BP_DIRECT","response to UV","0.63%","16","2485","54","29712","2.45e-5","2.50e-3","3.54","1.39e-1","2.42e-3","5.32e-6"
"GOTERM_BP_DIRECT","lysosome organization","0.63%","16","2485","54","29712","2.45e-5","2.50e-3","3.54","1.39e-1","2.42e-3","5.32e-6"
"GOTERM_BP_DIRECT","regulation of embryonic development","0.63%","16","2485","46","29712","2.75e-6","4.10e-4","4.16","1.67e-2","3.97e-4","4.77e-7"
"GOTERM_MF_DIRECT","endopeptidase activity","0.59%","15","2457","113","28924","9.77e-2","5.80e-1","1.56","1.00e+0","5.41e-1","5.54e-2"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=11","0.59%","15","2463","85","22253","8.31e-2","1.00e+0","1.59","1.00e+0","9.95e-1","4.54e-2"
"GOTERM_CC_DIRECT","intracellular anatomical structure","0.59%","15","2509","110","29722","7.93e-2","3.74e-1","1.62","1.00e+0","3.32e-1","4.35e-2"
"GOTERM_CC_DIRECT","extracellular exosome","0.59%","15","2509","109","29722","7.47e-2","3.54e-1","1.63","1.00e+0","3.14e-1","4.06e-2"
"GOTERM_BP_DIRECT","positive regulation of GTPase activity","0.59%","15","2485","109","29712","7.04e-2","6.28e-1","1.65","1.00e+0","6.08e-1","3.79e-2"
"GOTERM_BP_DIRECT","chromosome segregation","0.59%","15","2485","106","29712","5.83e-2","5.60e-1","1.69","1.00e+0","5.42e-1","3.05e-2"
"GOTERM_CC_DIRECT","stress fiber","0.59%","15","2509","104","29722","5.45e-2","2.92e-1","1.71","1.00e+0","2.59e-1","2.82e-2"
"GOTERM_BP_DIRECT","negative regulation of translation","0.59%","15","2485","103","29712","4.78e-2","5.08e-1","1.74","1.00e+0","4.92e-1","2.43e-2"
