"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","REGION:Disordered","72.31%","222","290","6929","10616","1.99e-5","4.98e-3","1.17","2.46e-2","4.96e-3","1.68e-5"
"UP_KW_PTM","Phosphoprotein","65.15%","200","244","5771","8133","4.86e-5","9.24e-4","1.16","8.75e-4","8.75e-4","4.17e-5"
"UP_KW_CELLULAR_COMPONENT","Nucleus","47.56%","146","269","3725","9619","1.67e-7","5.83e-6","1.40","5.83e-6","5.83e-6","1.17e-7"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","43.32%","133","290","3507","10616","4.01e-6","1.67e-3","1.39","4.99e-3","1.66e-3","2.83e-6"
"GOTERM_CC_DIRECT","nucleus","43.00%","132","290","3924","10838","7.67e-4","1.43e-1","1.26","2.49e-1","1.43e-1","5.97e-4"
"GOTERM_MF_DIRECT","protein binding","41.69%","128","282","3696","10572","2.10e-4","6.25e-2","1.30","1.17e-1","6.16e-2","1.59e-4"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","41.37%","127","290","3124","10616","1.53e-7","1.91e-4","1.49","1.91e-4","1.91e-4","1.01e-7"
"GOTERM_CC_DIRECT","nucleoplasm","34.85%","107","290","2594","10838","6.05e-7","2.26e-4","1.54","2.26e-4","2.26e-4","3.83e-7"
"UP_KW_PTM","Ubl conjugation","24.76%","76","244","1935","8133","6.34e-3","4.02e-2","1.31","1.08e-1","3.81e-2","4.69e-3"
"UP_KW_PTM","Isopeptide bond","20.85%","64","244","1343","8133","1.02e-4","9.71e-4","1.59","1.84e-3","9.20e-4","6.21e-5"
"UP_KW_DOMAIN","Coiled coil","20.52%","63","203","1628","7217","4.13e-3","5.17e-2","1.38","9.84e-2","4.96e-2","2.90e-3"
"UP_KW_BIOLOGICAL_PROCESS","Transcription","20.20%","62","191","1400","6312","8.62e-4","6.47e-2","1.46","6.26e-2","6.29e-2","5.69e-4"
"UP_SEQ_FEATURE","COMPBIAS:Basic residues","19.87%","61","290","1291","10616","1.82e-5","4.98e-3","1.73","2.24e-2","4.96e-3","1.01e-5"
"UP_KW_BIOLOGICAL_PROCESS","Transcription regulation","18.89%","58","191","1351","6312","2.99e-3","1.12e-1","1.42","2.01e-1","1.09e-1","2.03e-3"
"UP_KW_LIGAND","Zinc","18.57%","57","116","1530","4137","6.07e-3","5.16e-2","1.33","9.84e-2","5.16e-2","4.43e-3"
"UP_SEQ_FEATURE","COMPBIAS:Acidic residues","18.24%","56","290","1347","10616","1.20e-3","1.67e-1","1.52","7.77e-1","1.66e-1","7.59e-4"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)","16.29%","50","290","925","10616","4.00e-6","1.67e-3","1.98","4.99e-3","1.66e-3","1.94e-6"
"GOTERM_MF_DIRECT","DNA binding","16.29%","50","282","921","10572","1.74e-6","1.03e-3","2.04","1.03e-3","1.02e-3","8.19e-7"
"GOTERM_MF_DIRECT","zinc ion binding","15.64%","48","282","1124","10572","1.06e-3","7.01e-2","1.60","4.68e-1","6.91e-2","6.37e-4"
"UP_KW_MOLECULAR_FUNCTION","DNA-binding","14.98%","46","189","946","6316","6.83e-4","4.03e-2","1.62","3.95e-2","3.96e-2","4.04e-4"
"UP_KW_LIGAND","Nucleotide-binding","14.66%","45","116","1271","4137","4.89e-2","2.77e-1","1.26","5.74e-1","2.77e-1","3.71e-2"
"UP_KW_DOMAIN","Zinc-finger","14.66%","45","203","1003","7217","1.30e-3","3.25e-2","1.60","3.20e-2","3.12e-2","7.83e-4"
"GOTERM_MF_DIRECT","ATP binding","14.33%","44","282","1021","10572","1.54e-3","9.16e-2","1.62","6.00e-1","9.04e-2","9.16e-4"
"UP_KW_LIGAND","ATP-binding","13.03%","40","116","962","4137","5.51e-3","5.16e-2","1.48","8.96e-2","5.16e-2","3.57e-3"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","12.38%","38","289","800","10715","7.93e-4","4.92e-1","1.76","7.46e-1","4.92e-1","4.28e-4"
"GOTERM_CC_DIRECT","nucleolus","10.42%","32","290","761","10838","1.18e-2","8.84e-1","1.57","9.88e-1","8.84e-1","7.17e-3"
"GOTERM_MF_DIRECT","RNA binding","10.42%","32","282","628","10572","6.27e-4","7.01e-2","1.91","3.11e-1","6.91e-2","3.12e-4"
"UP_KW_MOLECULAR_FUNCTION","RNA-binding","10.10%","31","189","571","6316","1.39e-3","4.10e-2","1.81","7.87e-2","4.03e-2","7.27e-4"
"UP_KW_PTM","Methylation","9.77%","30","244","735","8133","7.27e-2","2.76e-1","1.36","7.43e-1","2.62e-1","5.01e-2"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","9.45%","29","289","550","10715","8.54e-4","4.92e-1","1.95","7.72e-1","4.92e-1","4.12e-4"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","8.79%","27","289","625","10715","1.76e-2","1.00e+0","1.60","1.00e+0","1.00e+0","1.04e-2"
"UP_KW_CELLULAR_COMPONENT","Chromosome","8.47%","26","269","408","9619","1.75e-4","3.05e-3","2.28","6.09e-3","3.05e-3","7.27e-5"
"UP_KW_BIOLOGICAL_PROCESS","Immunity","8.14%","25","191","466","6312","6.36e-3","1.59e-1","1.77","3.80e-1","1.55e-1","3.38e-3"
"UP_KW_BIOLOGICAL_PROCESS","Ubl conjugation pathway","7.49%","23","191","547","6312","9.71e-2","7.55e-1","1.39","1.00e+0","7.35e-1","6.50e-2"
"INTERPRO","P-loop_NTPase","7.49%","23","295","603","10913","8.87e-2","1.00e+0","1.41","1.00e+0","1.00e+0","6.00e-2"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","7.17%","22","289","408","10715","3.31e-3","1.00e+0","2.00","9.97e-1","1.00e+0","1.56e-3"
"GOTERM_BP_DIRECT","chromatin remodeling","6.84%","21","289","492","10715","4.16e-2","1.00e+0","1.58","1.00e+0","1.00e+0","2.53e-2"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate","6.84%","21","290","279","10616","7.54e-5","1.57e-2","2.76","8.99e-2","1.57e-2","2.55e-5"
"UP_KW_MOLECULAR_FUNCTION","Repressor","6.51%","20","189","408","6316","3.38e-2","4.62e-1","1.64","8.68e-1","4.54e-1","1.93e-2"
"GOTERM_MF_DIRECT","chromatin binding","6.19%","19","282","400","10572","2.02e-2","6.30e-1","1.78","1.00e+0","6.22e-1","1.06e-2"
"GOTERM_CC_DIRECT","nuclear speck","5.54%","17","290","358","10838","3.04e-2","1.00e+0","1.77","1.00e+0","1.00e+0","1.61e-2"
"GOTERM_MF_DIRECT","ATP hydrolysis activity","5.54%","17","282","293","10572","5.12e-3","2.53e-1","2.18","9.53e-1","2.50e-1","2.19e-3"
"GOTERM_CC_DIRECT","chromatin","5.21%","16","290","373","10838","7.42e-2","1.00e+0","1.60","1.00e+0","1.00e+0","4.28e-2"
"INTERPRO","Kinase-like_dom_sf","5.21%","16","295","348","10913","4.90e-2","1.00e+0","1.70","1.00e+0","1.00e+0","2.70e-2"
"GOTERM_BP_DIRECT","protein ubiquitination","5.21%","16","289","334","10715","3.61e-2","1.00e+0","1.78","1.00e+0","1.00e+0","1.89e-2"
"INTERPRO","Znf_RING/FYVE/PHD","5.21%","16","295","333","10913","3.58e-2","1.00e+0","1.78","1.00e+0","1.00e+0","1.88e-2"
"UP_SEQ_FEATURE","MOTIF:Nuclear localization signal","5.21%","16","290","313","10616","2.41e-2","1.00e+0","1.87","1.00e+0","9.98e-1","1.20e-2"
"GOTERM_BP_DIRECT","regulation of gene expression","5.21%","16","289","197","10715","2.74e-4","4.74e-1","3.01","3.78e-1","4.74e-1","8.43e-5"
"GOTERM_CC_DIRECT","nuclear body","4.89%","15","290","298","10838","2.91e-2","1.00e+0","1.88","1.00e+0","1.00e+0","1.42e-2"
"INTERPRO","PH-like_dom_sf","4.89%","15","295","283","10913","2.11e-2","1.00e+0","1.96","1.00e+0","1.00e+0","1.00e-2"
"GOTERM_BP_DIRECT","intracellular signal transduction","4.89%","15","289","277","10715","1.76e-2","1.00e+0","2.01","1.00e+0","1.00e+0","8.11e-3"
