"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","5.24%","15","283","543","29722","7.57e-4","2.39e-2","2.90","2.13e-1","2.26e-2","2.49e-4"
"GOTERM_MF_DIRECT","GTP binding","5.24%","15","277","390","28924","2.62e-5","3.71e-3","4.02","1.47e-2","3.67e-3","6.23e-6"
"GOTERM_MF_DIRECT","RNA binding","4.90%","14","277","816","28924","5.07e-2","9.28e-1","1.79","1.00e+0","9.18e-1","2.65e-2"
"UP_KW_LIGAND","GTP-binding","4.90%","14","113","367","6792","7.10e-3","7.81e-2","2.29","1.45e-1","7.81e-2","2.92e-3"
"GOTERM_BP_DIRECT","positive regulation of gene expression","4.90%","14","281","586","29712","3.97e-3","3.47e-1","2.53","1.00e+0","3.45e-1","1.50e-3"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","4.90%","14","281","397","29712","1.12e-4","2.40e-2","3.73","1.94e-1","2.38e-2","2.88e-5"
"GOTERM_CC_DIRECT","cytoplasmic vesicle","4.90%","14","283","361","29722","4.66e-5","2.46e-3","4.07","1.46e-2","2.32e-3","1.10e-5"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","4.55%","13","281","782","29712","6.84e-2","1.00e+0","1.76","1.00e+0","9.94e-1","3.62e-2"
"GOTERM_MF_DIRECT","protein-containing complex binding","4.55%","13","277","687","28924","3.32e-2","9.28e-1","1.98","1.00e+0","9.18e-1","1.57e-2"
"GOTERM_BP_DIRECT","chromatin remodeling","4.55%","13","281","671","29712","2.63e-2","8.30e-1","2.05","1.00e+0","8.25e-1","1.20e-2"
"GOTERM_CC_DIRECT","Golgi membrane","4.55%","13","283","613","29722","1.48e-2","1.94e-1","2.23","9.91e-1","1.83e-1","6.29e-3"
"GOTERM_MF_DIRECT","GTPase activity","4.55%","13","277","314","28924","5.40e-5","5.11e-3","4.32","3.02e-2","5.05e-3","1.19e-5"
"GOTERM_MF_DIRECT","hydrolase activity","4.55%","13","277","306","28924","4.24e-5","4.81e-3","4.44","2.38e-2","4.76e-3","9.11e-6"
"GOTERM_BP_DIRECT","defense response to virus","4.55%","13","281","252","29712","5.46e-6","1.75e-3","5.45","1.05e-2","1.74e-3","9.54e-7"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","4.20%","12","281","538","22253","7.92e-2","1.00e+0","1.77","1.00e+0","1.00e+0","4.15e-2"
"GOTERM_BP_DIRECT","apoptotic process","4.20%","12","281","583","29712","2.29e-2","7.92e-1","2.18","1.00e+0","7.87e-1","1.01e-2"
"GOTERM_MF_DIRECT","chromatin binding","4.20%","12","277","561","28924","1.99e-2","6.27e-1","2.23","1.00e+0","6.20e-1","8.36e-3"
"GOTERM_CC_DIRECT","chromatin","4.20%","12","283","523","29722","1.18e-2","1.78e-1","2.41","9.77e-1","1.68e-1","4.65e-3"
"GOTERM_BP_DIRECT","positive regulation of apoptotic process","4.20%","12","281","399","29712","1.54e-3","1.65e-1","3.18","9.48e-1","1.64e-1","4.60e-4"
"GOTERM_BP_DIRECT","cellular response to interferon-beta","4.20%","12","281","71","29712","6.64e-11","1.28e-7","17.87","1.28e-7","1.27e-7","3.16e-12"
"GOTERM_MF_DIRECT","protein kinase binding","3.85%","11","277","569","28924","4.76e-2","9.28e-1","2.02","1.00e+0","9.18e-1","2.19e-2"
"GOTERM_CC_DIRECT","apical plasma membrane","3.85%","11","283","486","29722","1.86e-2","2.35e-1","2.38","9.97e-1","2.22e-1","7.37e-3"
"GOTERM_MF_DIRECT","enzyme binding","3.85%","11","277","464","28924","1.42e-2","5.38e-1","2.48","1.00e+0","5.32e-1","5.43e-3"
"GOTERM_MF_DIRECT","ATP hydrolysis activity","3.85%","11","277","423","28924","7.81e-3","3.69e-1","2.72","9.88e-1","3.65e-1","2.74e-3"
"GOTERM_BP_DIRECT","positive regulation of cell migration","3.85%","11","281","268","29712","2.49e-4","3.99e-2","4.34","3.81e-1","3.97e-2","5.47e-5"
"KEGG_PATHWAY","Cytokine-cytokine receptor interaction","3.50%","10","140","294","9565","2.74e-2","1.00e+0","2.32","9.99e-1","1.00e+0","1.10e-2"
"GOTERM_BP_DIRECT","inflammatory response","3.50%","10","281","409","29712","1.62e-2","6.49e-1","2.59","1.00e+0","6.45e-1","5.90e-3"
"GOTERM_MF_DIRECT","magnesium ion binding","3.50%","10","277","243","28924","5.80e-4","3.92e-2","4.30","2.81e-1","3.88e-2","1.28e-4"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","3.15%","9","248","342","18649","8.56e-2","5.10e-1","1.98","9.67e-1","4.96e-1","3.98e-2"
"KEGG_PATHWAY","Prion disease","3.15%","9","140","273","9565","4.54e-2","1.00e+0","2.25","1.00e+0","1.00e+0","1.87e-2"
"GOTERM_BP_DIRECT","gene expression","3.15%","9","281","417","29712","4.49e-2","1.00e+0","2.28","1.00e+0","9.94e-1","1.84e-2"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)","3.15%","9","281","305","22253","3.99e-2","1.00e+0","2.34","1.00e+0","1.00e+0","1.59e-2"
"GOTERM_BP_DIRECT","angiogenesis","3.15%","9","281","288","29712","6.18e-3","4.41e-1","3.30","1.00e+0","4.38e-1","1.78e-3"
"UP_KW_BIOLOGICAL_PROCESS","Inflammatory response","3.15%","9","157","200","11473","5.98e-3","1.45e-1","3.29","4.41e-1","1.45e-1","1.71e-3"
"UP_KW_MOLECULAR_FUNCTION","Lyase","3.15%","9","175","177","12454","3.42e-3","2.29e-1","3.62","2.05e-1","2.29e-1","8.88e-4"
"GOTERM_BP_DIRECT","cellular response to type II interferon","3.15%","9","281","101","29712","5.33e-6","1.75e-3","9.42","1.02e-2","1.74e-3","5.20e-7"
"GOTERM_BP_DIRECT","defense response to protozoan","3.15%","9","281","43","29712","6.13e-9","5.91e-6","22.13","1.18e-5","5.87e-6","2.27e-10"
"GOTERM_MF_DIRECT","protein serine kinase activity","2.80%","8","277","366","28924","6.27e-2","9.28e-1","2.28","1.00e+0","9.18e-1","2.55e-2"
"GOTERM_CC_DIRECT","neuron projection","2.80%","8","283","360","29722","5.70e-2","5.45e-1","2.33","1.00e+0","5.14e-1","2.27e-2"
"GOTERM_BP_DIRECT","cellular response to lipopolysaccharide","2.80%","8","281","307","29712","2.71e-2","8.42e-1","2.76","1.00e+0","8.36e-1","9.17e-3"
"GOTERM_BP_DIRECT","cell surface receptor signaling pathway","2.80%","8","281","260","29712","1.20e-2","5.90e-1","3.25","1.00e+0","5.86e-1","3.48e-3"
"UP_KW_BIOLOGICAL_PROCESS","Lipid biosynthesis","2.80%","8","157","172","11473","9.07e-3","1.76e-1","3.40","5.87e-1","1.76e-1","2.50e-3"
"GOTERM_BP_DIRECT","positive regulation of ERK1 and ERK2 cascade","2.80%","8","281","231","29712","6.53e-3","4.49e-1","3.66","1.00e+0","4.46e-1","1.68e-3"
"GOTERM_CC_DIRECT","focal adhesion","2.80%","8","283","205","29722","3.56e-3","7.03e-2","4.10","6.76e-1","6.63e-2","8.21e-4"
"GOTERM_BP_DIRECT","negative regulation of viral genome replication","2.80%","8","281","55","29712","8.44e-7","4.07e-4","15.38","1.62e-3","4.04e-4","4.80e-8"
"GOTERM_CC_DIRECT","collagen-containing extracellular matrix","2.45%","7","283","331","29722","9.64e-2","7.81e-1","2.22","1.00e+0","7.37e-1","3.98e-2"
"KEGG_PATHWAY","NOD-like receptor signaling pathway","2.45%","7","140","216","9565","9.47e-2","1.00e+0","2.21","1.00e+0","1.00e+0","3.92e-2"
"UP_KW_MOLECULAR_FUNCTION","Cytokine","2.45%","7","175","202","12454","6.42e-2","1.00e+0","2.47","9.88e-1","1.00e+0","2.40e-2"
"GOTERM_CC_DIRECT","nuclear membrane","2.45%","7","283","275","29722","4.80e-2","4.74e-1","2.67","1.00e+0","4.47e-1","1.68e-2"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","2.45%","7","281","236","29712","2.49e-2","8.13e-1","3.14","1.00e+0","8.07e-1","7.47e-3"
"GOTERM_BP_DIRECT","transmembrane transport","2.45%","7","281","211","29712","1.53e-2","6.26e-1","3.51","1.00e+0","6.23e-1","4.10e-3"
"GOTERM_CC_DIRECT","cell cortex","2.45%","7","283","202","29722","1.30e-2","1.86e-1","3.64","9.84e-1","1.75e-1","3.35e-3"
"GOTERM_BP_DIRECT","ossification","2.45%","7","281","163","29712","4.60e-3","3.51e-1","4.54","1.00e+0","3.49e-1","9.55e-4"
"KEGG_PATHWAY","Glutathione metabolism","2.45%","7","140","73","9565","6.47e-4","1.61e-1","6.55","1.48e-1","1.61e-1","9.02e-5"
"GOTERM_BP_DIRECT","response to virus","2.45%","7","281","109","29712","5.97e-4","8.22e-2","6.79","6.84e-1","8.17e-2","8.23e-5"
"GOTERM_BP_DIRECT","response to cytokine","2.45%","7","281","85","29712","1.56e-4","3.00e-2","8.71","2.59e-1","2.98e-2","1.65e-5"
"GOTERM_MF_DIRECT","histone H3T11 kinase activity","2.10%","6","277","255","28924","9.82e-2","9.28e-1","2.46","1.00e+0","9.18e-1","3.67e-2"
"GOTERM_MF_DIRECT","histone H3T6 kinase activity","2.10%","6","277","255","28924","9.82e-2","9.28e-1","2.46","1.00e+0","9.18e-1","3.67e-2"
"GOTERM_MF_DIRECT","histone H3T45 kinase activity","2.10%","6","277","254","28924","9.70e-2","9.28e-1","2.47","1.00e+0","9.18e-1","3.61e-2"
"GOTERM_MF_DIRECT","histone H3S28 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H2AT120 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H2BS14 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H3T3 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H4S1 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H2BS36 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H3S57 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H2AS1 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H2AS121 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","eukaryotic translation initiation factor 2alpha kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","Rho-dependent protein serine/threonine kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","DNA-dependent protein kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","3-phosphoinositide-dependent protein kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H3S10 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","ribosomal protein S6 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_MF_DIRECT","histone H2AXS139 kinase activity","2.10%","6","277","253","28924","9.56e-2","9.28e-1","2.48","1.00e+0","9.18e-1","3.55e-2"
"GOTERM_BP_DIRECT","defense response to bacterium","2.10%","6","281","252","29712","8.98e-2","1.00e+0","2.52","1.00e+0","9.94e-1","3.33e-2"
"GOTERM_BP_DIRECT","regulation of cell cycle","2.10%","6","281","247","29712","8.48e-2","1.00e+0","2.57","1.00e+0","9.94e-1","3.06e-2"
"GOTERM_CC_DIRECT","nuclear envelope","2.10%","6","283","228","29722","6.69e-2","6.22e-1","2.76","1.00e+0","5.86e-1","2.24e-2"
"KEGG_PATHWAY","Measles","2.10%","6","140","145","9565","6.00e-2","1.00e+0","2.83","1.00e+0","1.00e+0","1.96e-2"
"GOTERM_CC_DIRECT","receptor complex","2.10%","6","283","205","29722","4.64e-2","4.73e-1","3.07","1.00e+0","4.46e-1","1.41e-2"
"GOTERM_BP_DIRECT","cell-cell adhesion","2.10%","6","281","199","29712","4.07e-2","1.00e+0","3.19","1.00e+0","9.94e-1","1.19e-2"
"UP_KW_MOLECULAR_FUNCTION","Protease inhibitor","2.10%","6","175","129","12454","3.46e-2","1.00e+0","3.31","9.06e-1","1.00e+0","9.70e-3"
"GOTERM_MF_DIRECT","protease binding","2.10%","6","277","162","28924","1.99e-2","6.27e-1","3.87","1.00e+0","6.20e-1","4.81e-3"
"UP_SEQ_FEATURE","ACT_SITE:Proton donor/acceptor","2.10%","6","281","111","22253","1.32e-2","1.00e+0","4.28","1.00e+0","1.00e+0","2.88e-3"
"UP_KW_BIOLOGICAL_PROCESS","Antiviral defense","2.10%","6","157","101","11473","1.21e-2","1.96e-1","4.34","6.94e-1","1.96e-1","2.60e-3"
"GOTERM_BP_DIRECT","lipid transport","2.10%","6","281","115","29712","4.74e-3","3.51e-1","5.52","1.00e+0","3.49e-1","8.07e-4"
"GOTERM_BP_DIRECT","autophagosome assembly","2.10%","6","281","85","29712","1.27e-3","1.44e-1","7.46","9.14e-1","1.43e-1","1.59e-4"
"GOTERM_MF_DIRECT","double-stranded RNA binding","2.10%","6","277","82","28924","1.14e-3","5.90e-2","7.64","4.77e-1","5.83e-2","1.39e-4"
"GOTERM_BP_DIRECT","positive regulation of interleukin-1 beta production","2.10%","6","281","68","29712","4.60e-4","6.82e-2","9.33","5.88e-1","6.78e-2","4.54e-5"
"GOTERM_BP_DIRECT","type I interferon-mediated signaling pathway","2.10%","6","281","57","29712","2.01e-4","3.52e-2","11.13","3.21e-1","3.50e-2","1.64e-5"
"GOTERM_BP_DIRECT","response to type II interferon","2.10%","6","281","35","29712","1.85e-5","4.45e-3","18.13","3.49e-2","4.42e-3","8.74e-7"
"INTERPRO","G_IRG_dom","2.10%","6","286","19","22271","3.33e-6","8.78e-4","24.59","3.35e-3","8.72e-4","1.00e-7"
"UP_SEQ_FEATURE","DOMAIN:IRG-type G","2.10%","6","281","19","22253","3.06e-6","4.11e-3","25.01","4.10e-3","4.11e-3","9.08e-8"
"INTERPRO","IRG","2.10%","6","286","18","22271","2.48e-6","8.78e-4","25.96","2.50e-3","8.72e-4","6.94e-8"
"INTERPRO","Immunity-related_GTPase-like","2.10%","6","286","18","22271","2.48e-6","8.78e-4","25.96","2.50e-3","8.72e-4","6.94e-8"
"KEGG_PATHWAY","Thyroid hormone signaling pathway","1.75%","5","140","120","9565","9.72e-2","1.00e+0","2.85","1.00e+0","1.00e+0","3.13e-2"
"GOTERM_BP_DIRECT","defense response to Gram-positive bacterium","1.75%","5","281","183","29712","9.54e-2","1.00e+0","2.89","1.00e+0","9.94e-1","3.04e-2"
"KEGG_PATHWAY","TNF signaling pathway","1.75%","5","140","118","9565","9.28e-2","1.00e+0","2.89","1.00e+0","1.00e+0","2.94e-2"
"GOTERM_MF_DIRECT","histone binding","1.75%","5","277","172","28924","8.31e-2","9.28e-1","3.04","1.00e+0","9.18e-1","2.52e-2"
"KEGG_PATHWAY","Th17 cell differentiation","1.75%","5","140","105","9565","6.65e-2","1.00e+0","3.25","1.00e+0","1.00e+0","1.88e-2"
"GOTERM_BP_DIRECT","positive regulation of angiogenesis","1.75%","5","281","161","29712","6.64e-2","1.00e+0","3.28","1.00e+0","9.94e-1","1.88e-2"
"GOTERM_MF_DIRECT","growth factor activity","1.75%","5","277","153","28924","5.93e-2","9.28e-1","3.41","1.00e+0","9.18e-1","1.61e-2"
"GOTERM_BP_DIRECT","cellular response to hypoxia","1.75%","5","281","145","29712","4.87e-2","1.00e+0","3.65","1.00e+0","9.94e-1","1.25e-2"
"KEGG_PATHWAY","Hematopoietic cell lineage","1.75%","5","140","94","9565","4.78e-2","1.00e+0","3.63","1.00e+0","1.00e+0","1.21e-2"
"GOTERM_BP_DIRECT","cytokine-mediated signaling pathway","1.75%","5","281","143","29712","4.67e-2","1.00e+0","3.70","1.00e+0","9.94e-1","1.18e-2"
"GOTERM_CC_DIRECT","nuclear matrix","1.75%","5","283","138","29722","4.28e-2","4.51e-1","3.81","1.00e+0","4.25e-1","1.05e-2"
"GOTERM_MF_DIRECT","transmembrane signaling receptor activity","1.75%","5","277","137","28924","4.26e-2","9.28e-1","3.81","1.00e+0","9.18e-1","1.04e-2"
"GOTERM_MF_DIRECT","serine-type endopeptidase inhibitor activity","1.75%","5","277","135","28924","4.07e-2","9.28e-1","3.87","1.00e+0","9.18e-1","9.82e-3"
"KEGG_PATHWAY","Th1 and Th2 cell differentiation","1.75%","5","140","88","9565","3.90e-2","1.00e+0","3.88","1.00e+0","1.00e+0","9.28e-3"
"KEGG_PATHWAY","PD-L1 expression and PD-1 checkpoint pathway in cancer","1.75%","5","140","88","9565","3.90e-2","1.00e+0","3.88","1.00e+0","1.00e+0","9.28e-3"
"GOTERM_BP_DIRECT","protein-containing complex assembly","1.75%","5","281","131","29712","3.57e-2","9.54e-1","4.04","1.00e+0","9.49e-1","8.27e-3"
"GOTERM_BP_DIRECT","positive regulation of tumor necrosis factor production","1.75%","5","281","122","29712","2.86e-2","8.73e-1","4.33","1.00e+0","8.68e-1","6.16e-3"
"SMART","LIM","1.75%","5","151","74","10943","1.86e-2","1.00e+0","4.90","9.39e-1","1.00e+0","3.51e-3"
"GOTERM_BP_DIRECT","positive regulation of DNA-binding transcription factor activity","1.75%","5","281","106","29712","1.81e-2","6.85e-1","4.99","1.00e+0","6.80e-1","3.40e-3"
"INTERPRO","Znf_LIM","1.75%","5","286","74","22271","1.50e-2","1.00e+0","5.26","1.00e+0","9.94e-1","2.64e-3"
"GOTERM_CC_DIRECT","caveola","1.75%","5","283","97","29722","1.38e-2","1.90e-1","5.41","9.88e-1","1.79e-1","2.39e-3"
"GOTERM_BP_DIRECT","cartilage development","1.75%","5","281","96","29712","1.30e-2","5.98e-1","5.51","1.00e+0","5.94e-1","2.22e-3"
"GOTERM_BP_DIRECT","positive regulation of epithelial cell proliferation","1.75%","5","281","94","29712","1.21e-2","5.90e-1","5.62","1.00e+0","5.86e-1","2.02e-3"
"GOTERM_BP_DIRECT","mitochondrial translation","1.75%","5","281","93","29712","1.17e-2","5.90e-1","5.68","1.00e+0","5.86e-1","1.93e-3"
"GOTERM_BP_DIRECT","epithelial cell proliferation","1.75%","5","281","91","29712","1.09e-2","5.86e-1","5.81","1.00e+0","5.83e-1","1.75e-3"
"UP_SEQ_FEATURE","DOMAIN:LIM zinc-binding","1.75%","5","281","66","22253","9.60e-3","1.00e+0","6.00","1.00e+0","1.00e+0","1.48e-3"
"GOTERM_BP_DIRECT","cell surface receptor protein tyrosine kinase signaling pathway","1.75%","5","281","87","29712","9.32e-3","5.44e-1","6.08","1.00e+0","5.41e-1","1.43e-3"
"GOTERM_BP_DIRECT","positive regulation of smooth muscle cell proliferation","1.75%","5","281","85","29712","8.60e-3","5.18e-1","6.22","1.00e+0","5.15e-1","1.29e-3"
"GOTERM_BP_DIRECT","antiviral innate immune response","1.75%","5","281","70","29712","4.35e-3","3.51e-1","7.55","1.00e+0","3.49e-1","5.35e-4"
"COG_ONTOLOGY","DNA replication, recombination, and repair","1.75%","5","19","70","2099","2.44e-3","2.19e-2","7.89","2.17e-2","2.19e-2","2.89e-4"
"GOTERM_BP_DIRECT","activation of innate immune response","1.75%","5","281","57","29712","2.06e-3","2.09e-1","9.28","9.81e-1","2.08e-1","2.05e-4"
"UP_KW_BIOLOGICAL_PROCESS","Osteogenesis","1.75%","5","157","37","11473","1.53e-3","5.90e-2","9.88","1.38e-1","5.90e-2","1.38e-4"
"GOTERM_MF_DIRECT","NADP binding","1.75%","5","277","43","28924","7.47e-4","4.24e-2","12.14","3.45e-1","4.19e-2","5.55e-5"
"GOTERM_MF_DIRECT","membrane scission GTPase motor activity","1.75%","5","277","41","28924","6.22e-4","3.92e-2","12.73","2.97e-1","3.88e-2","4.39e-5"
