"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","cytoplasm","39.16%","112","283","6408","29722","8.08e-12","2.55e-9","1.84","2.55e-9","2.41e-9","4.34e-12"
"GOTERM_MF_DIRECT","protein binding","34.97%","100","277","5596","28924","8.19e-11","4.64e-8","1.87","4.64e-8","4.60e-8","4.32e-11"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","33.22%","95","248","5460","18649","1.76e-3","6.67e-2","1.31","6.46e-2","6.49e-2","1.31e-3"
"GOTERM_CC_DIRECT","nucleus","32.17%","92","283","6018","29722","1.27e-6","1.34e-4","1.61","4.01e-4","1.26e-4","7.77e-7"
"UP_KW_CELLULAR_COMPONENT","Nucleus","29.02%","83","248","5284","18649","5.24e-2","3.98e-1","1.18","8.71e-1","3.88e-1","4.30e-2"
"GOTERM_CC_DIRECT","cytosol","29.02%","83","283","4363","29722","3.65e-10","5.77e-8","2.00","1.15e-7","5.44e-8","1.80e-10"
"GOTERM_CC_DIRECT","plasma membrane","26.57%","76","283","6054","29722","6.82e-3","1.13e-1","1.32","8.85e-1","1.07e-1","5.03e-3"
"GOTERM_CC_DIRECT","membrane","26.57%","76","283","5706","29722","1.43e-3","3.76e-2","1.40","3.64e-1","3.55e-2","9.98e-4"
"UP_KW_PTM","Acetylation","21.33%","61","208","3221","13214","7.20e-2","1.00e+0","1.20","7.58e-1","1.00e+0","5.75e-2"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","20.98%","60","281","3733","22253","3.45e-2","1.00e+0","1.27","1.00e+0","1.00e+0","2.61e-2"
"GOTERM_CC_DIRECT","nucleoplasm","20.98%","60","283","3572","29722","1.41e-5","8.90e-4","1.76","4.44e-3","8.40e-4","7.81e-6"
"GOTERM_MF_DIRECT","identical protein binding","18.53%","53","277","2094","28924","1.75e-10","4.95e-8","2.64","9.91e-8","4.90e-8","6.45e-11"
"UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","18.18%","52","281","3356","22253","8.46e-2","1.00e+0","1.23","1.00e+0","1.00e+0","6.58e-2"
"UP_KW_DOMAIN","Coiled coil","17.13%","49","209","2624","14896","2.61e-2","5.87e-1","1.33","4.56e-1","5.87e-1","1.89e-2"
"UP_KW_LIGAND","Nucleotide-binding","16.08%","46","113","1865","6792","2.24e-3","4.93e-2","1.48","4.82e-2","4.93e-2","1.47e-3"
"GOTERM_MF_DIRECT","metal ion binding","12.94%","37","277","2748","28924","3.20e-2","9.28e-1","1.41","1.00e+0","9.18e-1","2.18e-2"
"GOTERM_CC_DIRECT","extracellular space","12.24%","35","283","1809","29722","1.16e-4","4.59e-3","2.03","3.60e-2","4.33e-3","5.55e-5"
"UP_KW_MOLECULAR_FUNCTION","Hydrolase","11.89%","34","175","1835","12454","7.31e-2","1.00e+0","1.32","9.94e-1","1.00e+0","5.26e-2"
"KEGG_PATHWAY","Metabolic pathways","11.89%","34","140","1650","9565","3.06e-2","1.00e+0","1.41","1.00e+0","1.00e+0","2.08e-2"
"GOTERM_MF_DIRECT","ATP binding","10.84%","31","277","1543","28924","1.83e-4","1.48e-2","2.10","9.85e-2","1.47e-2","8.41e-5"
"INTERPRO","P-loop_NTPase","10.84%","31","286","930","22271","3.48e-6","8.78e-4","2.60","3.51e-3","8.72e-4","1.29e-6"
"GOTERM_CC_DIRECT","mitochondrion","10.49%","30","283","1818","29722","4.43e-3","8.23e-2","1.73","7.54e-1","7.76e-2","2.46e-3"
"GOTERM_CC_DIRECT","nucleolus","9.44%","27","283","966","29722","2.08e-6","1.65e-4","2.94","6.58e-4","1.55e-4","6.87e-7"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","9.09%","26","248","1306","18649","4.07e-2","3.87e-1","1.50","7.94e-1","3.76e-1","2.57e-2"
"UP_KW_BIOLOGICAL_PROCESS","Immunity","9.09%","26","157","991","11473","1.82e-3","5.90e-2","1.92","1.62e-1","5.90e-2","9.13e-4"
"GOTERM_CC_DIRECT","Golgi apparatus","9.09%","26","283","1149","29722","1.11e-4","4.59e-3","2.38","3.44e-2","4.33e-3","4.51e-5"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","8.74%","25","281","1284","29712","1.19e-3","1.43e-1","2.06","8.99e-1","1.42e-1","5.58e-4"
"GOTERM_MF_DIRECT","zinc ion binding","8.39%","24","277","1667","28924","4.93e-2","9.28e-1","1.50","1.00e+0","9.18e-1","3.09e-2"
"GOTERM_CC_DIRECT","endoplasmic reticulum","8.39%","24","283","1262","29722","2.24e-3","5.06e-2","2.00","5.08e-1","4.77e-2","1.08e-3"
"GOTERM_CC_DIRECT","endoplasmic reticulum membrane","8.04%","23","283","1110","29722","9.89e-4","2.84e-2","2.18","2.69e-1","2.68e-2","4.38e-4"
"GOTERM_MF_DIRECT","protein homodimerization activity","8.04%","23","277","834","28924","1.92e-5","3.63e-3","2.88","1.08e-2","3.59e-3","6.43e-6"
"GOTERM_MF_DIRECT","DNA binding","7.69%","22","277","1593","28924","8.54e-2","9.28e-1","1.44","1.00e+0","9.18e-1","5.53e-2"
"UP_KW_CELLULAR_COMPONENT","Golgi apparatus","7.69%","22","248","937","18649","1.33e-2","2.53e-1","1.77","3.99e-1","2.46e-1","7.13e-3"
"UP_KW_BIOLOGICAL_PROCESS","Innate immunity","7.34%","21","157","393","11473","3.56e-7","3.45e-5","3.90","3.45e-5","3.45e-5","8.65e-8"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","6.29%","18","281","1005","29712","1.53e-2","6.26e-1","1.89","1.00e+0","6.23e-1","7.70e-3"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","6.29%","18","283","854","29722","3.49e-3","7.03e-2","2.21","6.69e-1","6.63e-2","1.51e-3"
"GOTERM_BP_DIRECT","innate immune response","6.29%","18","281","509","29712","7.93e-6","2.18e-3","3.74","1.52e-2","2.17e-3","2.04e-6"
"GOTERM_BP_DIRECT","response to bacterium","5.94%","17","281","279","29712","1.14e-8","7.35e-6","6.44","2.20e-5","7.30e-6","1.67e-9"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","5.59%","16","281","602","29712","6.53e-4","8.38e-2","2.81","7.16e-1","8.33e-2","2.23e-4"
"GOTERM_CC_DIRECT","external side of plasma membrane","5.59%","16","283","551","29722","2.79e-4","9.78e-3","3.05","8.43e-2","9.22e-3","8.72e-5"
"GOTERM_BP_DIRECT","signal transduction","5.24%","15","281","925","29712","5.66e-2","1.00e+0","1.71","1.00e+0","9.94e-1","3.05e-2"
"GOTERM_CC_DIRECT","cell surface","5.24%","15","283","833","29722","2.88e-2","3.37e-1","1.89","1.00e+0","3.18e-1","1.43e-2"
